epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.9135,2.62929,3.20908,2.69293,0.09201,0.3668,0.111,0.02534,2.96907,13.9471,5.44246,0.000661538,0.000661538,0.000661538
2,88.7844,1.90394,1.92516,2.19398,0.17638,0.25483,0.11379,0.03475,2.88602,3.87631,3.67907,0.00131506,0.00131506,0.00131506
3,128.13,1.68807,1.61953,1.98566,0.4966,0.64093,0.54234,0.28557,1.58524,3.48626,2.22576,0.00195537,0.00195537,0.00195537
4,170.188,1.54624,1.43115,1.82873,0.5899,0.43243,0.47576,0.22177,2.08585,2.13921,2.80386,0.0019406,0.0019406,0.0019406
5,210.936,1.45392,1.299,1.75902,0.76422,0.71333,0.77231,0.37548,1.89333,1.67423,2.58022,0.0019208,0.0019208,0.0019208
6,251.635,1.37598,1.23295,1.68515,0.79473,0.71753,0.8032,0.42128,1.55951,1.24215,1.98399,0.001901,0.001901,0.001901
7,292.215,1.348,1.16688,1.65163,0.8196,0.70165,0.82395,0.46602,1.4851,1.60996,2.01336,0.0018812,0.0018812,0.0018812
8,332.949,1.28789,1.09344,1.60751,0.81102,0.76834,0.83127,0.42604,1.55941,1.13468,2.10113,0.0018614,0.0018614,0.0018614
9,373.423,1.27085,1.06666,1.5828,0.84078,0.85714,0.90707,0.56315,1.30327,0.94908,1.70829,0.0018416,0.0018416,0.0018416
10,413.983,1.22273,1.0284,1.53258,0.9283,0.88417,0.95211,0.62838,1.07284,0.84429,1.50429,0.0018218,0.0018218,0.0018218
11,454.593,1.20225,1.00684,1.5243,0.92517,0.89961,0.96673,0.62582,1.2231,0.83284,1.6086,0.001802,0.001802,0.001802
12,495.119,1.17279,0.97773,1.49083,0.8634,0.78096,0.85464,0.54126,1.31598,1.14566,1.74754,0.0017822,0.0017822,0.0017822
13,535.605,1.15512,0.95297,1.4866,0.90029,0.89189,0.94115,0.64032,1.18266,0.80279,1.57963,0.0017624,0.0017624,0.0017624
14,576.258,1.15994,0.95524,1.5017,0.85294,0.87332,0.92789,0.60046,1.31085,0.88341,1.7324,0.0017426,0.0017426,0.0017426
15,616.609,1.12657,0.92173,1.46813,0.92572,0.91425,0.96428,0.66667,1.10824,0.73153,1.50824,0.0017228,0.0017228,0.0017228
16,657.227,1.11714,0.88803,1.46102,0.88582,0.89859,0.93795,0.59182,1.26701,0.76089,1.67138,0.001703,0.001703,0.001703
17,697.844,1.10565,0.89801,1.45889,0.9364,0.89961,0.96267,0.61627,1.30483,0.74883,1.67818,0.0016832,0.0016832,0.0016832
18,738.334,1.11496,0.89319,1.4572,0.89416,0.90347,0.95093,0.58897,1.35003,0.76237,1.75117,0.0016634,0.0016634,0.0016634
19,778.774,1.07778,0.87092,1.44,0.93283,0.91159,0.973,0.6692,1.13856,0.66668,1.51586,0.0016436,0.0016436,0.0016436
20,819.5,1.07151,0.83946,1.42108,0.93897,0.89104,0.95447,0.65864,1.14116,0.77289,1.51713,0.0016238,0.0016238,0.0016238
21,859.964,1.07434,0.85818,1.42714,0.89382,0.91506,0.9532,0.64883,1.14946,0.67955,1.57454,0.001604,0.001604,0.001604
22,900.395,1.07166,0.83565,1.41232,0.9525,0.92914,0.97432,0.67886,1.01707,0.62773,1.43856,0.0015842,0.0015842,0.0015842
23,941.097,1.04974,0.83824,1.41122,0.93358,0.9112,0.97169,0.67485,1.05008,0.65525,1.44592,0.0015644,0.0015644,0.0015644
24,981.55,1.05553,0.82225,1.41624,0.94842,0.92294,0.96892,0.66996,1.09157,0.60624,1.47161,0.0015446,0.0015446,0.0015446
25,1022.04,1.02055,0.80028,1.38803,0.95068,0.91892,0.97114,0.66035,1.11375,0.67751,1.48782,0.0015248,0.0015248,0.0015248
26,1062.66,1.03663,0.8287,1.38609,0.9259,0.9305,0.97223,0.69262,1.03713,0.60188,1.44331,0.001505,0.001505,0.001505
27,1103.25,1.01581,0.8089,1.37164,0.94151,0.93218,0.97616,0.6926,1.04211,0.61905,1.45082,0.0014852,0.0014852,0.0014852
28,1143.75,1.03047,0.80209,1.38307,0.96386,0.9305,0.97891,0.695,1.04021,0.61621,1.42041,0.0014654,0.0014654,0.0014654
29,1184.36,1.00482,0.79226,1.3693,0.96761,0.92664,0.97998,0.69279,1.00571,0.57067,1.40471,0.0014456,0.0014456,0.0014456
30,1224.64,1.00557,0.76235,1.35826,0.9563,0.94595,0.98055,0.68989,1.06954,0.59546,1.46009,0.0014258,0.0014258,0.0014258
31,1265.17,1.00348,0.77231,1.36576,0.95146,0.94208,0.98248,0.68117,1.0784,0.60005,1.45915,0.001406,0.001406,0.001406
32,1305.81,1.00529,0.78399,1.37664,0.94529,0.93389,0.98023,0.69377,1.04441,0.60089,1.43839,0.0013862,0.0013862,0.0013862
33,1346.26,0.99873,0.77388,1.36288,0.93204,0.94981,0.97912,0.70136,0.95659,0.56753,1.37076,0.0013664,0.0013664,0.0013664
34,1386.86,0.98472,0.76204,1.35316,0.95117,0.91892,0.97336,0.67058,1.06138,0.63866,1.46146,0.0013466,0.0013466,0.0013466
35,1427.45,0.9891,0.75864,1.36053,0.95308,0.94208,0.97935,0.69898,1.06583,0.59893,1.44589,0.0013268,0.0013268,0.0013268
36,1467.88,0.98011,0.76055,1.34452,0.96009,0.92871,0.98398,0.71433,0.98933,0.54989,1.38627,0.001307,0.001307,0.001307
37,1508.43,0.99532,0.76434,1.36037,0.97144,0.91946,0.98094,0.68521,1.02626,0.56251,1.42314,0.0012872,0.0012872,0.0012872
38,1549.2,0.98735,0.74778,1.35918,0.9442,0.95367,0.98184,0.68974,1.0704,0.58343,1.47687,0.0012674,0.0012674,0.0012674
