image,A,B,C,D,label
ISIC_0013967,0.17,1.75,0.14,0.62,1
ISIC_0000451,0.15,1.21,0.29,0.62,1
ISIC_0000217,0.13,1.31,0.29,0.71,1
ISIC_0002453,0.12,2.15,0.16,0.68,1
ISIC_0014537,0.15,1.2,0.08,0.64,2
ISIC_0014729,0.15,1.2,0.3,0.7,1
ISIC_0015211,0.17,1.25,0.49,0.7,1
ISIC_0015152,0.14,1.3,0.36,0.61,1
ISIC_0013676,0.09,1.63,0.17,0.66,1
ISIC_0014457,0.26,1.19,0.09,0.66,2
ISIC_0002673,0.24,1.35,0.21,0.68,1
ISIC_0011099,0.34,1.63,0.22,0.77,0
ISIC_0000039,0.09,2.0,0.29,0.62,1
ISIC_0014694,0.08,1.77,0.31,0.69,1
ISIC_0015974,0.17,5.4,0.14,0.68,1
ISIC_0009564,0.16,1.76,0.14,0.67,1
ISIC_0014478,0.25,19.58,0.19,0.64,0
ISIC_0013595,0.2,3.15,0.18,0.63,1
ISIC_0010092,0.16,2.26,0.23,0.62,1
ISIC_0000453,0.22,6.8,0.16,0.69,1
ISIC_0014197,0.19,1.72,0.08,0.65,1
ISIC_0016023,0.11,1.19,0.1,0.63,1
ISIC_0013159,0.14,1.18,0.08,0.64,1
ISIC_0010463,0.14,1.43,0.27,0.72,1
ISIC_0014299,0.17,1.21,0.15,0.59,1
ISIC_0011333,0.3,3.53,0.35,0.59,1
ISIC_0000128,0.12,2.46,0.22,0.63,1
ISIC_0010854,0.25,1.21,0.16,0.7,1
ISIC_0014850,0.23,1.41,0.2,0.64,1
ISIC_0014821,0.14,1.79,0.2,0.61,1
ISIC_0012323,0.12,1.2,0.23,0.65,2
ISIC_0010459,0.2,1.16,0.15,0.79,1
ISIC_0014037,0.15,1.38,0.13,0.82,0
ISIC_0000408,0.1,1.36,0.19,0.82,1
ISIC_0014715,0.2,2.02,0.3,0.61,1
ISIC_0013037,0.13,1.72,0.18,0.66,1
ISIC_0013329,0.12,1.59,0.13,0.65,1
ISIC_0015185,0.32,47.45,0.29,0.68,0
ISIC_0014587,0.38,14.54,0.13,0.71,2
ISIC_0010584,0.09,1.17,0.13,0.7,1
ISIC_0010190,0.28,1.22,0.28,0.86,1
ISIC_0008541,0.18,4.07,0.13,0.69,1
ISIC_0013275,0.11,1.52,0.15,0.67,1
ISIC_0003805,0.19,1.68,0.15,0.64,1
ISIC_0016060,0.19,14.27,0.12,0.63,1
