image,A,B,C,D
ISIC_0013967.jpg,0.17,1.75,0.14,0.62
ISIC_0000451.jpg,0.15,1.21,0.29,0.62
ISIC_0000217.jpg,0.13,1.31,0.29,0.71
ISIC_0002453.jpg,0.12,2.15,0.16,0.68
ISIC_0014537.jpg,0.15,1.2,0.08,0.64
ISIC_0014729.jpg,0.15,1.2,0.3,0.7
ISIC_0015211.jpg,0.17,1.25,0.49,0.7
ISIC_0015152.jpg,0.14,1.3,0.36,0.61
ISIC_0013676.jpg,0.09,1.63,0.17,0.66
ISIC_0014457.jpg,0.26,1.19,0.09,0.66
ISIC_0002673.jpg,0.24,1.35,0.21,0.68
ISIC_0011099.jpg,0.34,1.63,0.22,0.77
ISIC_0000039.jpg,0.09,2,0.29,0.62
ISIC_0014694.jpg,0.08,1.77,0.31,0.69
ISIC_0015974.jpg,0.17,5.4,0.14,0.68
ISIC_0009564.jpg,0.16,1.76,0.14,0.67
ISIC_0014478.jpg,0.25,19.58,0.19,0.64
ISIC_0013595.jpg,0.2,3.15,0.18,0.63
ISIC_0010092.jpg,0.16,2.26,0.23,0.62
ISIC_0000453.jpg,0.22,6.8,0.16,0.69
ISIC_0014197.jpg,0.19,1.72,0.08,0.65
ISIC_0016023.jpg,0.11,1.19,0.1,0.63
ISIC_0013159.jpg,0.14,1.18,0.08,0.64
ISIC_0010463.jpg,0.14,1.43,0.27,0.72
ISIC_0014299.jpg,0.17,1.21,0.15,0.59
ISIC_0011333.jpg,0.3,3.53,0.35,0.59
ISIC_0000128.jpg,0.12,2.46,0.22,0.63
ISIC_0010854.jpg,0.25,1.21,0.16,0.7
ISIC_0014850.jpg,0.23,1.41,0.2,0.64
ISIC_0014821.jpg,0.14,1.79,0.2,0.61
ISIC_0012323.jpg,0.12,1.2,0.23,0.65
ISIC_0010459.jpg,0.2,1.16,0.15,0.79
ISIC_0014037.jpg,0.15,1.38,0.13,0.82
ISIC_0000408.jpg,0.1,1.36,0.19,0.82
ISIC_0014715.jpg,0.2,2.02,0.3,0.61
ISIC_0013037.jpg,0.13,1.72,0.18,0.66
ISIC_0013329.jpg,0.12,1.59,0.13,0.65
ISIC_0015185.jpg,0.32,47.45,0.29,0.68
ISIC_0014587.jpg,0.38,14.54,0.13,0.71
ISIC_0010584.jpg,0.09,1.17,0.13,0.7
ISIC_0010190.jpg,0.28,1.22,0.28,0.86
ISIC_0008541.jpg,0.18,4.07,0.13,0.69
ISIC_0013275.jpg,0.11,1.52,0.15,0.67
ISIC_0003805.jpg,0.19,1.68,0.15,0.64
ISIC_0016060.jpg,0.19,14.27,0.12,0.63
ISIC_0000486.jpg,0.16,2.43,0.23,0.65
ISIC_0009599.jpg,0.21,1.44,0.1,0.71
ISIC_0000412.jpg,0.34,2.5,0.16,0.74
ISIC_0015638.jpg,0.67,64.26,0.27,0.73
ISIC_0000061.jpg,0.14,3.34,0.24,0.62
ISIC_0012453.jpg,0.27,2.02,0.08,0.7
ISIC_0012693.jpg,0.13,1.63,0.11,0.7
ISIC_0000017.jpg,0.24,3.4,0.23,0.67
ISIC_0012813.jpg,0.1,1.17,0.06,0.65
