image,A,B,C,D,label
ISIC_0013425,0.26,1.71,0.11,0.71,1
ISIC_0011135,0.38,3.0,0.24,0.61,0
ISIC_0014059,0.23,3.75,0.23,0.72,0
ISIC_0012746,0.2,1.93,0.19,0.71,1
ISIC_0013986,0.17,1.21,0.09,0.66,0
ISIC_0015645,0.22,21.94,0.26,0.63,1
ISIC_0000055,0.13,3.05,0.2,0.76,1
ISIC_0013371,0.21,2.1,0.09,0.75,2
ISIC_0011173,0.35,4.28,0.23,0.65,1
ISIC_0015559,0.36,1.29,0.33,0.68,1
ISIC_0015937,0.14,3.79,0.17,0.65,1
ISIC_0015997,0.18,4.6,0.15,0.64,1
ISIC_0009941,0.13,2.34,0.19,0.62,1
ISIC_0000227,0.09,2.68,0.36,0.63,1
ISIC_0016007,0.21,12.59,0.14,0.64,1
ISIC_0007322,0.2,1.24,0.13,0.62,1
ISIC_0013178,0.46,1.82,0.11,0.82,2
ISIC_0000112,0.18,1.24,0.18,0.64,1
ISIC_0000235,0.15,1.15,0.31,0.68,1
ISIC_0012976,0.15,1.67,0.21,0.66,1
ISIC_0000136,0.15,1.31,0.51,0.68,1
ISIC_0013972,0.16,1.34,0.09,0.75,0
ISIC_0015115,0.14,1.35,0.22,0.7,0
ISIC_0014779,0.28,1.85,0.25,0.75,1
ISIC_0012258,0.19,1.25,0.09,0.66,0
ISIC_0010020,0.22,1.3,0.22,0.7,1
ISIC_0015018,0.12,1.17,0.26,0.59,1
ISIC_0010442,0.17,2.02,0.16,0.58,1
ISIC_0012313,0.13,1.62,0.18,0.71,1
ISIC_0014046,0.19,1.71,0.07,0.7,1
ISIC_0008528,0.14,1.98,0.1,0.75,1
ISIC_0012889,0.26,1.77,0.06,0.71,2
ISIC_0012891,0.17,1.76,0.19,0.7,1
ISIC_0000544,0.13,2.73,0.22,0.65,1
ISIC_0000514,0.28,3.01,0.22,0.67,1
ISIC_0010848,0.1,1.16,0.14,0.67,1
ISIC_0000066,0.2,2.36,0.43,0.68,1
ISIC_0000125,0.15,7.6,0.28,0.64,1
ISIC_0013529,0.18,1.64,0.11,0.67,1
ISIC_0008280,0.18,2.12,0.15,0.64,1
ISIC_0000533,0.12,1.29,0.27,0.71,0
ISIC_0009946,0.1,1.17,0.2,0.65,1
ISIC_0001133,0.13,1.21,0.22,0.65,0
ISIC_0013664,0.62,21.49,0.08,0.79,1
ISIC_0015404,0.1,1.13,0.27,0.67,1
ISIC_0013719,0.13,1.8,0.16,0.69,1
ISIC_0013573,0.26,18.43,0.1,0.64,0
ISIC_0013690,0.19,1.17,0.16,0.65,1
ISIC_0014501,0.19,2.08,0.1,0.68,0
ISIC_0008396,0.1,1.15,0.11,0.61,1
ISIC_0000517,0.0,1.58,0.19,2.17,0
ISIC_0000243,0.11,3.16,0.21,0.67,1
ISIC_0013459,0.16,1.16,0.1,0.65,0
ISIC_0014787,0.31,58.93,0.3,0.83,1
ISIC_0000175,0.17,1.34,0.42,0.61,0
ISIC_0012235,0.09,1.6,0.07,0.66,1
ISIC_0010102,0.18,1.2,0.18,0.67,1
ISIC_0014941,0.18,37.68,0.3,0.72,1
ISIC_0013315,0.05,1.14,0.28,0.61,1
ISIC_0015184,0.3,16.98,0.36,0.7,1
ISIC_0014823,0.11,1.58,0.32,0.61,2
ISIC_0014974,0.17,12.3,0.29,0.59,1
ISIC_0014949,0.2,35.7,0.3,0.66,1
ISIC_0016017,0.24,10.66,0.15,0.66,1
ISIC_0015403,0.17,1.27,0.3,0.7,1
ISIC_0015627,0.22,1.92,0.18,0.68,1
ISIC_0012496,0.13,1.68,0.11,0.68,1
ISIC_0000524,0.18,3.03,0.29,0.69,1
ISIC_0012837,0.35,30.98,0.14,0.84,1
ISIC_0014922,0.18,1.8,0.39,0.72,0
ISIC_0000167,0.3,1.46,0.38,0.67,0
ISIC_0015031,0.31,1.28,0.25,0.69,1
ISIC_0000384,0.23,8.28,0.25,0.65,1
ISIC_0010062,0.08,1.18,0.19,0.8,1
ISIC_0002836,0.13,1.23,0.15,0.69,1
ISIC_0013430,0.09,1.68,0.17,0.63,1
ISIC_0010235,0.15,1.19,0.16,0.8,0
ISIC_0013799,0.15,3.96,0.16,0.68,1
ISIC_0012109,0.1,1.73,0.24,0.72,1
ISIC_0013988,0.15,1.25,0.09,0.8,0
ISIC_0015526,0.14,22.75,0.35,0.66,1
ISIC_0011110,0.15,1.2,0.37,0.66,1
ISIC_0000244,0.22,3.02,0.2,0.66,1
ISIC_0010263,0.31,2.94,0.3,0.66,1
ISIC_0014833,0.14,1.24,0.21,0.78,1
ISIC_0014930,0.1,1.73,0.34,0.69,1
ISIC_0014797,0.12,3.58,0.25,0.62,1
ISIC_0012939,0.19,1.56,0.19,0.74,1
ISIC_0000192,0.1,1.26,0.34,0.75,1
ISIC_0010362,0.19,1.75,0.38,0.72,1
ISIC_0015969,0.1,1.19,0.22,0.68,1
ISIC_0013052,0.16,1.16,0.04,0.64,2
ISIC_0000376,0.12,1.32,0.2,0.66,1
ISIC_0014110,0.27,17.14,0.15,0.6,0
ISIC_0015146,0.11,8.8,0.22,0.66,1
ISIC_0012382,0.09,1.69,0.15,0.63,0
ISIC_0013176,0.54,19.62,0.11,0.67,1
ISIC_0000374,0.22,3.66,0.27,0.64,1
ISIC_0010465,0.3,2.09,0.26,0.75,1
ISIC_0011356,0.22,1.26,0.2,0.88,0
ISIC_0010318,0.37,2.37,0.18,0.62,1
ISIC_0013190,0.06,1.71,0.19,0.7,1
ISIC_0013414,0.23,7.44,0.16,0.65,0
ISIC_0012212,0.12,1.71,0.13,0.73,1
ISIC_0011109,0.18,1.14,0.11,0.69,1
ISIC_0000387,0.18,2.48,0.15,0.73,1
ISIC_0013832,0.22,1.3,0.11,0.68,0
ISIC_0010061,0.2,2.71,0.3,0.59,1
ISIC_0013044,0.2,1.73,0.16,0.66,1
ISIC_0014794,0.19,11.58,0.19,0.69,1
ISIC_0010185,0.3,3.75,0.19,0.73,1
ISIC_0000419,0.28,2.67,0.22,0.8,1
ISIC_0014385,0.28,1.42,0.11,0.68,0
ISIC_0000200,0.07,1.14,0.52,0.64,1
ISIC_0015215,0.18,38.94,0.26,0.66,1
ISIC_0013801,0.21,9.74,0.1,0.75,1
ISIC_0014968,0.21,41.06,0.23,0.73,1
ISIC_0010568,0.2,1.48,0.24,0.77,1
ISIC_0013424,0.04,1.11,0.07,0.6,1
ISIC_0012090,0.21,1.43,0.07,0.64,2
ISIC_0014349,0.17,1.19,0.13,0.67,0
ISIC_0014600,0.31,9.61,0.15,0.7,2
ISIC_0012678,0.22,1.92,0.12,0.65,0
ISIC_0009920,0.1,1.17,0.16,0.65,1
ISIC_0010094,0.13,3.46,0.3,0.71,0
ISIC_0012372,0.2,14.29,0.07,0.64,2
ISIC_0014469,0.06,1.69,0.05,0.64,1
ISIC_0012379,0.17,1.19,0.13,0.64,2
ISIC_0013212,0.13,1.24,0.06,0.67,1
ISIC_0016003,0.34,11.41,0.23,0.68,1
ISIC_0010100,0.24,1.27,0.19,0.67,1
ISIC_0010075,0.19,1.26,0.22,0.84,1
ISIC_0013443,0.07,1.16,0.18,0.6,2
ISIC_0000196,0.21,3.83,0.39,0.73,1
ISIC_0015118,0.18,1.19,0.28,0.73,1
ISIC_0014458,0.2,1.72,0.22,0.65,1
ISIC_0014868,0.1,52.38,0.26,0.66,1
ISIC_0012679,0.18,1.52,0.2,0.71,1
ISIC_0014617,0.09,1.58,0.2,0.63,2
ISIC_0011334,0.36,1.31,0.2,0.87,0
ISIC_0009966,0.11,1.99,0.23,0.68,1
ISIC_0015963,0.2,7.53,0.14,0.71,1
ISIC_0009583,0.15,1.47,0.08,0.76,1
ISIC_0009940,0.37,3.52,0.17,0.73,1
ISIC_0009897,0.26,2.39,0.26,0.72,0
ISIC_0011336,0.18,3.66,0.13,0.64,1
ISIC_0000075,0.1,1.57,0.18,0.67,1
ISIC_0013936,0.15,1.61,0.29,0.66,0
ISIC_0015180,0.31,51.72,0.21,0.71,0
ISIC_0013671,0.09,1.69,0.1,0.65,0
ISIC_0000269,0.1,2.09,0.2,0.61,1
ISIC_0000079,0.29,3.48,0.2,0.68,1
ISIC_0010073,0.23,1.36,0.07,0.7,1
ISIC_0013558,0.14,1.19,0.23,0.69,1
ISIC_0001204,0.11,1.24,0.05,0.71,1
ISIC_0012655,0.2,1.52,0.23,0.68,1
