image,A,B,C,D
ISIC_0013425.jpg,0.26,1.71,0.11,0.71
ISIC_0011135.jpg,0.38,3.0,0.24,0.61
ISIC_0014059.jpg,0.23,3.75,0.23,0.72
ISIC_0012746.jpg,0.2,1.93,0.19,0.71
ISIC_0013986.jpg,0.17,1.21,0.09,0.66
ISIC_0015645.jpg,0.22,21.94,0.26,0.63
ISIC_0000055.jpg,0.13,3.05,0.2,0.76
ISIC_0013371.jpg,0.21,2.1,0.09,0.75
ISIC_0011173.jpg,0.35,4.28,0.23,0.65
ISIC_0015559.jpg,0.36,1.29,0.33,0.68
ISIC_0015937.jpg,0.14,3.79,0.17,0.65
ISIC_0015997.jpg,0.18,4.6,0.15,0.64
ISIC_0009941.jpg,0.13,2.34,0.19,0.62
ISIC_0000227.jpg,0.09,2.68,0.36,0.63
ISIC_0016007.jpg,0.21,12.59,0.14,0.64
ISIC_0007322.jpg,0.2,1.24,0.13,0.62
ISIC_0013178.jpg,0.46,1.82,0.11,0.82
ISIC_0000112.jpg,0.18,1.24,0.18,0.64
ISIC_0000235.jpg,0.15,1.15,0.31,0.68
ISIC_0012976.jpg,0.15,1.67,0.21,0.66
ISIC_0000136.jpg,0.15,1.31,0.51,0.68
ISIC_0013972.jpg,0.16,1.34,0.09,0.75
ISIC_0015115.jpg,0.14,1.35,0.22,0.7
ISIC_0014779.jpg,0.28,1.85,0.25,0.75
ISIC_0012258.jpg,0.19,1.25,0.09,0.66
ISIC_0010020.jpg,0.22,1.3,0.22,0.7
ISIC_0015018.jpg,0.12,1.17,0.26,0.59
ISIC_0010442.jpg,0.17,2.02,0.16,0.58
ISIC_0012313.jpg,0.13,1.62,0.18,0.71
ISIC_0014046.jpg,0.19,1.71,0.07,0.7
ISIC_0008528.jpg,0.14,1.98,0.1,0.75
ISIC_0012889.jpg,0.26,1.77,0.06,0.71
ISIC_0012891.jpg,0.17,1.76,0.19,0.7
ISIC_0000544.jpg,0.13,2.73,0.22,0.65
ISIC_0000514.jpg,0.28,3.01,0.22,0.67
ISIC_0010848.jpg,0.1,1.16,0.14,0.67
ISIC_0000066.jpg,0.2,2.36,0.43,0.68
ISIC_0000125.jpg,0.15,7.6,0.28,0.64
ISIC_0013529.jpg,0.18,1.64,0.11,0.67
ISIC_0008280.jpg,0.18,2.12,0.15,0.64
ISIC_0000533.jpg,0.12,1.29,0.27,0.71
ISIC_0009946.jpg,0.1,1.17,0.2,0.65
ISIC_0001133.jpg,0.13,1.21,0.22,0.65
ISIC_0013664.jpg,0.62,21.49,0.08,0.79
ISIC_0015404.jpg,0.1,1.13,0.27,0.67
ISIC_0013719.jpg,0.13,1.8,0.16,0.69
ISIC_0013573.jpg,0.26,18.43,0.1,0.64
ISIC_0013690.jpg,0.19,1.17,0.16,0.65
ISIC_0014501.jpg,0.19,2.08,0.1,0.68
ISIC_0008396.jpg,0.1,1.15,0.11,0.61
ISIC_0000517.jpg,0.0,1.58,0.19,2.17
ISIC_0000243.jpg,0.11,3.16,0.21,0.67
ISIC_0013459.jpg,0.16,1.16,0.1,0.65
ISIC_0014787.jpg,0.31,58.93,0.3,0.83
ISIC_0000175.jpg,0.17,1.34,0.42,0.61
ISIC_0012235.jpg,0.09,1.6,0.07,0.66
ISIC_0010102.jpg,0.18,1.2,0.18,0.67
ISIC_0014941.jpg,0.18,37.68,0.3,0.72
ISIC_0013315.jpg,0.05,1.14,0.28,0.61
ISIC_0015184.jpg,0.3,16.98,0.36,0.7
ISIC_0014823.jpg,0.11,1.58,0.32,0.61
ISIC_0014974.jpg,0.17,12.3,0.29,0.59
ISIC_0014949.jpg,0.2,35.7,0.3,0.66
ISIC_0016017.jpg,0.24,10.66,0.15,0.66
ISIC_0015403.jpg,0.17,1.27,0.3,0.7
ISIC_0015627.jpg,0.22,1.92,0.18,0.68
ISIC_0012496.jpg,0.13,1.68,0.11,0.68
ISIC_0000524.jpg,0.18,3.03,0.29,0.69
ISIC_0012837.jpg,0.35,30.98,0.14,0.84
ISIC_0014922.jpg,0.18,1.8,0.39,0.72
ISIC_0000167.jpg,0.3,1.46,0.38,0.67
ISIC_0015031.jpg,0.31,1.28,0.25,0.69
ISIC_0000384.jpg,0.23,8.28,0.25,0.65
ISIC_0010062.jpg,0.08,1.18,0.19,0.8
ISIC_0002836.jpg,0.13,1.23,0.15,0.69
ISIC_0013430.jpg,0.09,1.68,0.17,0.63
ISIC_0010235.jpg,0.15,1.19,0.16,0.8
ISIC_0013799.jpg,0.15,3.96,0.16,0.68
ISIC_0012109.jpg,0.1,1.73,0.24,0.72
ISIC_0013988.jpg,0.15,1.25,0.09,0.8
ISIC_0015526.jpg,0.14,22.75,0.35,0.66
ISIC_0011110.jpg,0.15,1.2,0.37,0.66
ISIC_0000244.jpg,0.22,3.02,0.2,0.66
ISIC_0010263.jpg,0.31,2.94,0.3,0.66
ISIC_0014833.jpg,0.14,1.24,0.21,0.78
ISIC_0014930.jpg,0.1,1.73,0.34,0.69
ISIC_0014797.jpg,0.12,3.58,0.25,0.62
ISIC_0012939.jpg,0.19,1.56,0.19,0.74
ISIC_0000192.jpg,0.1,1.26,0.34,0.75
ISIC_0010362.jpg,0.19,1.75,0.38,0.72
ISIC_0015969.jpg,0.1,1.19,0.22,0.68
ISIC_0013052.jpg,0.16,1.16,0.04,0.64
ISIC_0000376.jpg,0.12,1.32,0.2,0.66
ISIC_0014110.jpg,0.27,17.14,0.15,0.6
ISIC_0015146.jpg,0.11,8.8,0.22,0.66
ISIC_0012382.jpg,0.09,1.69,0.15,0.63
ISIC_0013176.jpg,0.54,19.62,0.11,0.67
ISIC_0000374.jpg,0.22,3.66,0.27,0.64
ISIC_0010465.jpg,0.3,2.09,0.26,0.75
ISIC_0011356.jpg,0.22,1.26,0.2,0.88
ISIC_0010318.jpg,0.37,2.37,0.18,0.62
ISIC_0013190.jpg,0.06,1.71,0.19,0.7
ISIC_0013414.jpg,0.23,7.44,0.16,0.65
ISIC_0012212.jpg,0.12,1.71,0.13,0.73
ISIC_0011109.jpg,0.18,1.14,0.11,0.69
ISIC_0000387.jpg,0.18,2.48,0.15,0.73
ISIC_0013832.jpg,0.22,1.3,0.11,0.68
ISIC_0010061.jpg,0.2,2.71,0.3,0.59
ISIC_0013044.jpg,0.2,1.73,0.16,0.66
ISIC_0014794.jpg,0.19,11.58,0.19,0.69
ISIC_0010185.jpg,0.3,3.75,0.19,0.73
ISIC_0000419.jpg,0.28,2.67,0.22,0.8
ISIC_0014385.jpg,0.28,1.42,0.11,0.68
ISIC_0000200.jpg,0.07,1.14,0.52,0.64
ISIC_0015215.jpg,0.18,38.94,0.26,0.66
ISIC_0013801.jpg,0.21,9.74,0.1,0.75
ISIC_0014968.jpg,0.21,41.06,0.23,0.73
ISIC_0010568.jpg,0.2,1.48,0.24,0.77
ISIC_0013424.jpg,0.04,1.11,0.07,0.6
ISIC_0012090.jpg,0.21,1.43,0.07,0.64
ISIC_0014349.jpg,0.17,1.19,0.13,0.67
ISIC_0014600.jpg,0.31,9.61,0.15,0.7
ISIC_0012678.jpg,0.22,1.92,0.12,0.65
ISIC_0009920.jpg,0.1,1.17,0.16,0.65
ISIC_0010094.jpg,0.13,3.46,0.3,0.71
ISIC_0012372.jpg,0.2,14.29,0.07,0.64
ISIC_0014469.jpg,0.06,1.69,0.05,0.64
ISIC_0012379.jpg,0.17,1.19,0.13,0.64
ISIC_0013212.jpg,0.13,1.24,0.06,0.67
