image,A,B,C,D
ISIC_0000092.jpg,0.1,1.6,0.1,0.68
ISIC_0013222.jpg,0.15,1.65,0.23,0.64
ISIC_0015079.jpg,0.23,1.82,0.26,0.66
ISIC_0000124.jpg,0.15,8.73,0.24,0.64
ISIC_0013128.jpg,0.16,1.9,0.16,0.71
ISIC_0000443.jpg,0.1,1.22,0.19,0.71
ISIC_0000225.jpg,0.15,2.33,0.37,0.63
ISIC_0010467.jpg,0.18,1.23,0.24,0.65
ISIC_0000008.jpg,0.15,1.91,0.27,0.63
ISIC_0010213.jpg,0.22,1.18,0.28,0.68
ISIC_0000258.jpg,0.24,1.25,0.27,0.76
ISIC_0009958.jpg,0.14,1.24,0.27,0.6
ISIC_0000251.jpg,0.11,1.18,0.35,0.68
ISIC_0011164.jpg,0.36,8.49,0.18,0.64
ISIC_0010552.jpg,0.3,4.33,0.18,0.78
ISIC_0010553.jpg,0.16,5.53,0.36,0.77
ISIC_0012432.jpg,0.16,1.17,0.25,0.6
ISIC_0013333.jpg,0.21,1.84,0.07,0.58
ISIC_0012338.jpg,0.21,1.67,0.1,0.71
ISIC_0016064.jpg,0.33,19.29,0.11,0.68
ISIC_0013644.jpg,0.29,1.27,0.13,0.63
ISIC_0010046.jpg,0.28,1.34,0.14,0.69
ISIC_0004309.jpg,0.1,1.36,0.11,0.75
ISIC_0013229.jpg,0.2,1.8,0.14,0.64
ISIC_0010487.jpg,0.22,3.92,0.11,0.75
ISIC_0012884.jpg,0.28,2.04,0.07,0.69
ISIC_0010334.jpg,0.25,4.18,0.27,0.69
ISIC_0012873.jpg,0.15,1.69,0.23,0.68
ISIC_0011205.jpg,0.14,1.81,0.36,0.63
ISIC_0012713.jpg,0.3,3.54,0.16,0.6
ISIC_0011213.jpg,0.24,3.04,0.23,0.66
ISIC_0008879.jpg,0.12,1.16,0.19,0.62
ISIC_0000549.jpg,0.19,1.49,0.24,0.63
ISIC_0013320.jpg,0.09,1.68,0.15,0.61
ISIC_0012516.jpg,0.19,1.84,0.14,0.64
ISIC_0000058.jpg,0.1,1.17,0.22,0.67
ISIC_0013027.jpg,0.19,2.07,0.14,0.65
ISIC_0014742.jpg,0.08,1.68,0.31,0.68
ISIC_0014945.jpg,0.12,1.76,0.34,0.7
ISIC_0012268.jpg,0.31,6.53,0.13,0.75
ISIC_0015390.jpg,0.14,1.28,0.24,0.6
ISIC_0010379.jpg,0.22,1.21,0.12,0.62
ISIC_0014702.jpg,0.12,1.22,0.19,0.71
ISIC_0000331.jpg,0.09,1.17,0.2,0.64
ISIC_0012273.jpg,0.13,1.23,0.14,0.69
ISIC_0014186.jpg,0.19,1.24,0.07,0.69
ISIC_0013597.jpg,0.26,1.69,0.21,0.66
ISIC_0012770.jpg,0.16,1.61,0.22,0.7
ISIC_0000455.jpg,0.13,2.5,0.17,0.72
ISIC_0014926.jpg,0.16,1.86,0.19,0.6
ISIC_0010461.jpg,0.22,3.93,0.23,0.72
ISIC_0011119.jpg,0.15,2.08,0.26,0.67
ISIC_0000447.jpg,0.23,2.0,0.1,0.67
ISIC_0007788.jpg,0.08,1.15,0.11,0.66
ISIC_0012223.jpg,0.11,1.16,0.07,0.72
ISIC_0015417.jpg,0.13,1.3,0.36,0.66
ISIC_0000363.jpg,0.19,1.36,0.38,0.76
ISIC_0013411.jpg,0.26,1.35,0.16,0.67
ISIC_0015173.jpg,0.35,30.12,0.24,0.66
ISIC_0009981.jpg,0.31,3.09,0.23,0.65
ISIC_0013480.jpg,0.08,1.65,0.22,0.7
ISIC_0012664.jpg,0.23,1.79,0.15,0.61
ISIC_0002871.jpg,0.08,1.19,0.19,0.65
ISIC_0013995.jpg,0.28,2.04,0.08,0.71
ISIC_0009165.jpg,0.18,6.07,0.23,0.61
ISIC_0014328.jpg,0.24,1.6,0.05,0.77
ISIC_0000256.jpg,0.2,2.7,0.25,0.65
ISIC_0010015.jpg,0.24,2.78,0.17,0.61
ISIC_0000142.jpg,0.09,1.13,0.35,0.63
ISIC_0013610.jpg,0.15,1.78,0.25,0.67
ISIC_0015476.jpg,0.07,1.18,0.37,0.64
ISIC_0014985.jpg,0.21,2.03,0.18,0.8
ISIC_0000111.jpg,0.1,1.31,0.41,0.81
ISIC_0013782.jpg,0.15,1.82,0.06,0.7
ISIC_0012529.jpg,0.11,1.64,0.12,0.65
ISIC_0010053.jpg,0.19,2.36,0.15,0.66
ISIC_0014948.jpg,0.29,108.44,0.22,0.81
ISIC_0000541.jpg,0.13,2.13,0.19,0.67
ISIC_0010025.jpg,0.32,1.28,0.3,0.69
ISIC_0014795.jpg,0.33,2.1,0.21,0.71
ISIC_0000095.jpg,0.12,1.23,0.28,0.66
ISIC_0000505.jpg,0.38,5.22,0.19,0.73
ISIC_0013626.jpg,0.3,2.1,0.15,0.67
ISIC_0014688.jpg,0.12,2.24,0.23,0.84
ISIC_0012711.jpg,0.17,1.56,0.11,0.73
ISIC_0013982.jpg,0.07,1.15,0.08,0.66
ISIC_0015013.jpg,0.57,98.58,0.13,0.77
ISIC_0013675.jpg,0.14,1.75,0.11,0.66
ISIC_0010602.jpg,0.1,1.29,0.18,0.74
